Model,F1_Macro,F1_Micro
Decision Tree,0.986325912021927,0.9872480282564445
Random Forest,0.986424716505793,0.9873394574878135
LightGBM,0.9876331788579362,0.9884895409771379
Simple Neural Network,0.9621122604947976,0.9647564373396981
Deep Neural Network,0.9749555476418182,0.9766037408991824
