ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
LGBM,LIME,mqtt.msgtype,0.009773242287255164,0.009773242287255164,7
LGBM,LIME,http.request.version_0,-0.008392490996075155,0.008392490996075155,8
LGBM,LIME,mqtt.conflag.cleansess,-0.0019526241475064478,0.0019526241475064478,9
LGBM,LIME,mqtt.topic_0,0.0017895636582024009,0.0017895636582024009,10
SLP,SHAP,mqtt.topic_0,8.389365196228027,8.389365196228027,1
SLP,SHAP,mqtt.protoname_0,7.881850719451904,7.881850719451904,2
SLP,SHAP,mqtt.conack.flags_0,5.0267252922058105,5.0267252922058105,3
SLP,SHAP,http.request.version_0,3.084904670715332,3.084904670715332,4
SLP,SHAP,mqtt.msgtype,0.49560078978538513,0.49560078978538513,5
SLP,SHAP,mqtt.hdrflags,0.44264867901802063,0.44264867901802063,6
SLP,SHAP,mqtt.conflag.cleansess,0.24065467715263367,0.24065467715263367,7
SLP,SHAP,mqtt.topic_len,0.20023104548454285,0.20023104548454285,8
SLP,SHAP,icmp.seq_le,-0.10934969782829285,0.10934969782829285,9
SLP,SHAP,tcp.flags,0.09226375073194504,0.09226375073194504,10
SLP,LIME,mqtt.topic_0,0.3939012337180157,0.3939012337180157,1
SLP,LIME,mqtt.protoname_0,0.3743105696855671,0.3743105696855671,2
SLP,LIME,mqtt.conack.flags_0,0.3149783059787061,0.3149783059787061,3
SLP,LIME,mqtt.conflag.cleansess,0.17131353290528664,0.17131353290528664,4
SLP,LIME,mqtt.msgtype,0.11485942559171322,0.11485942559171322,5
SLP,LIME,mqtt.hdrflags,0.10420105240918537,0.10420105240918537,6
SLP,LIME,mqtt.topic_len,0.09128788269188029,0.09128788269188029,7
SLP,LIME,http.request.version_0,0.039620017964348046,0.039620017964348046,8
SLP,LIME,icmp.seq_le,-0.03634654126043854,0.03634654126043854,9
SLP,LIME,tcp.flags,0.002914818577779146,0.002914818577779146,10
SLP,Saliency,mqtt.topic_0,11.466148376464844,11.466148376464844,1
SLP,Saliency,mqtt.protoname_0,10.835424423217773,10.835424423217773,2
SLP,Saliency,mqtt.msgtype,10.021079063415527,10.021079063415527,3
SLP,Saliency,mqtt.hdrflags,8.858817100524902,8.858817100524902,4
SLP,Saliency,mqtt.conack.flags_0,6.497585296630859,6.497585296630859,5
SLP,Saliency,mqtt.conflag.cleansess,5.3806304931640625,5.3806304931640625,6
SLP,Saliency,icmp.seq_le,4.779976844787598,4.779976844787598,7
SLP,Saliency,mqtt.topic_len,4.132727146148682,4.132727146148682,8
SLP,Saliency,http.request.version_0,3.151184558868408,3.151184558868408,9
SLP,Saliency,tcp.flags,1.2114639282226562,1.2114639282226562,10
SLP,DeepLIFT,http.request.version_0,3.162698268890381,3.162698268890381,1
SLP,DeepLIFT,tcp.flags,0.8351598381996155,0.8351598381996155,2
SLP,DeepLIFT,mqtt.protoname_0,-0.0,0.0,3
SLP,DeepLIFT,mqtt.topic_0,-0.0,0.0,4
SLP,DeepLIFT,mqtt.conack.flags_0,-0.0,0.0,5
SLP,DeepLIFT,mqtt.hdrflags,-0.0,0.0,6
SLP,DeepLIFT,mqtt.msgtype,-0.0,0.0,7
SLP,DeepLIFT,icmp.seq_le,0.0,0.0,8
SLP,DeepLIFT,mqtt.conflag.cleansess,-0.0,0.0,9
SLP,DeepLIFT,mqtt.topic_len,-0.0,0.0,10
SLP,IG,http.request.version_0,3.161696235867454,3.161696235867454,1
SLP,IG,tcp.flags,0.8363199200307144,0.8363199200307144,2
SLP,IG,mqtt.protoname_0,-0.0,0.0,3
SLP,IG,mqtt.topic_0,-0.0,0.0,4
SLP,IG,mqtt.conack.flags_0,-0.0,0.0,5
SLP,IG,mqtt.hdrflags,-0.0,0.0,6
SLP,IG,mqtt.msgtype,-0.0,0.0,7
SLP,IG,icmp.seq_le,0.0,0.0,8
SLP,IG,mqtt.conflag.cleansess,-0.0,0.0,9
SLP,IG,mqtt.topic_len,-0.0,0.0,10
MLP,SHAP,mqtt.topic_0,7.846960544586182,7.846960544586182,1
MLP,SHAP,mqtt.protoname_0,7.730407238006592,7.730407238006592,2
MLP,SHAP,mqtt.conack.flags_0,5.088173866271973,5.088173866271973,3
MLP,SHAP,http.request.version_0,3.699263095855713,3.699263095855713,4
MLP,SHAP,mqtt.msgtype,0.2674722373485565,0.2674722373485565,5
MLP,SHAP,mqtt.conflag.cleansess,0.22234931588172913,0.22234931588172913,6
MLP,SHAP,mqtt.topic_len,0.19673292338848114,0.19673292338848114,7
MLP,SHAP,mqtt.hdrflags,0.13868021965026855,0.13868021965026855,8
MLP,SHAP,icmp.seq_le,-0.0730389803647995,0.0730389803647995,9
MLP,SHAP,tcp.flags,0.005801147315651178,0.005801147315651178,10
MLP,LIME,mqtt.topic_0,0.4336096241348626,0.4336096241348626,1
