Model,F1_Macro,F1_Micro
Decision Tree,0.993904519485018,0.9965438169702018
Random Forest,0.9939176967744127,0.9965513106912524
LightGBM,0.9938848973361778,0.9965327735918115
Simple Neural Network,0.9932337535493302,0.9961628204157359
Deep Neural Network,0.9932612408066446,0.9961782022642081
